month,西安,兰州,西宁,银川,乌鲁木齐,拉萨,咸阳,铜川,延安,宝鸡,渭南,金昌,嘉峪关,石嘴山,克拉玛依,巴音郭楞州,吐鲁番地区,哈密地区,昌吉州,博尔塔拉蒙古自治州,阿克苏地区,克孜勒苏柯尔克孜自治州,喀什地区,和田地区,伊犁哈萨克州,塔城地区,阿勒泰地区,石河子,五家渠,汉中,榆林,安康,商洛,白银,天水,武威,张掖,平凉,庆阳,陇南,甘南州,海东地区,海北藏族自治州,黄南藏族自治州,海南藏族自治州,果洛藏族自治州,玉树藏族自治州,海西蒙古族藏族自治州,吴忠,中卫,固原,昌都,山南,日喀则,那曲地区,阿里地区,林芝,兰州新区,西咸新区
Jul-24,43.1,71.4,46.8,79.8,32.2,10.6,45.7,41.1,36.8,38.7,39.9,86.9,105.5,84,23.2,68.4,47.2,51,35.9,26,47.5,69.3,90.3,311.8,35.2,33.7,19.2,32.8,41.2,30.4,49.7,28.4,30.8,70.6,32.8,87.2,98.8,53.4,40.8,33,36.4,51.5,41.1,47.8,36.9,24.7,11.9,38.1,83.8,84,46.7,11.4,13.1,10.6,24.2,12.6,8.8,67.9,42
Aug-24,50.4,43.9,34.7,47.6,37.4,12.7,52.2,43.5,37.4,45.2,45.8,58.7,58.3,42.6,25.9,69.3,74.1,54.7,39.8,29.4,72.6,95.5,113.6,513.5,41.2,29.8,22.7,34.5,47.4,33.2,33.5,28.2,38.3,40.1,32.4,51.4,62.8,48.6,42.6,40.3,30.2,37.5,28.1,27.8,30.5,26.6,16.5,33.9,48.7,65.1,41.2,12.9,15.6,9.7,30.1,10.9,10.1,41.6,47.6
Sep-24,58.8,40.9,31.1,51.4,38.7,11.4,66.9,50.8,42.2,49.2,59.4,51.1,53.2,48.2,26.3,101.7,116.5,71.9,40,37.7,97.5,142,181,341.2,46.5,35.8,22.4,32.9,43,35.3,38.4,34,38.2,35.3,32.9,41.2,43.9,49.6,41.3,35.8,23.3,34.7,23.4,25.8,24.9,18.4,11.7,49.7,48.1,62.5,29.4,10.7,15.1,11,30.3,10.7,10.2,36.8,60.4
Oct-24,80.8,56.1,46.5,62.8,48.4,17.5,99.1,63.6,46.4,58.7,85.1,63.1,87.3,61.6,26.8,110.6,77.4,74,52.9,44.8,111.8,104.5,156.2,194.6,47.6,35.5,24.9,46.3,64.3,38.3,47.5,37.8,42.3,44.9,39.3,55.3,79.5,53.2,50.2,37.5,26.4,46,27.7,41.6,36.3,27.6,18.6,28.8,62.8,60.7,32.8,13.7,20.3,23.8,53.6,16,9,50.4,86.8
Nov-24,92.4,80.5,67.4,85.1,70.1,26.2,102,73.1,59.9,71.1,87.3,80.6,67.5,81.8,37.6,107.2,97.4,80.7,77.2,60,114.8,95.4,149.6,151.4,61.2,37.1,14.3,77.4,85.4,44.4,61.2,40.8,47,62.9,50.6,75.7,99.3,62.8,58.8,47.2,28.8,63.4,28.9,47.3,40.2,36.2,29.9,34.7,71.6,77.5,45.7,18.8,26.6,32.3,59.9,16,13,73.9,88.1
Dec-24,91.4,89,81,82.4,82.1,37.7,101.1,72.4,63,75.6,93.7,67.5,62.1,84.3,56.4,78.5,144,80.5,110.4,61.3,97.2,78.2,113.6,108.9,64.3,63.6,22.5,114.9,144,92.5,53.9,67.1,65.6,63,73.6,64.8,78.7,58.5,57.5,64.7,49.4,78.8,37.1,56,39.7,39.9,34.8,33.3,67.9,68.9,52.3,27.7,40.8,37.9,61.3,14.8,16.8,71.9,91.3
Jan-25,127.6,101.3,72.7,107.6,124.2,28.1,143.8,92.7,80.1,105,119.6,107.6,75.9,100.9,83.2,173.6,165.2,110.3,162.5,69.9,144.2,137.6,202.9,207.2,84.6,34.9,22.7,148.8,222.7,126.4,68.5,85.8,72.3,83,90.7,105.8,83.8,80.7,83.1,72.9,59,65.4,34.7,55.1,52,42.9,29.4,44.8,106.8,137.5,78.5,36.8,43.6,36.9,39.6,12.4,15.8,78.9,122.1
Feb-25,99.7,80.7,64.4,75.9,114.9,24.5,111.4,80.5,72.1,89.7,97.4,79.1,75.1,73.6,80.9,302.1,157.1,102.9,136.3,69.4,262.4,303.3,324.7,400.1,75,30.7,23.9,142.7,170.5,67.3,58.8,58.8,76.6,73.3,65.5,87.4,85.4,74.5,63.4,47.7,50.6,64.7,43.3,58.6,44.8,41.5,27.5,38.3,82.2,92.9,64.4,19.3,55.6,24.9,41.8,15.1,14.9,71.5,95
Mar-25,115.2,129.9,115.4,167.6,64.2,24.1,129.3,99.4,129.8,116.5,114.3,117.8,177.6,185.8,35.8,414.9,286.8,139.8,57.8,55.5,550.6,506.8,504.7,759.5,51,49.1,19.5,61.8,61.8,68,147.9,52.6,80.4,150.9,86.7,155.3,196.3,113.3,126.7,79.2,77.4,122.2,72.8,88.5,75.4,67.2,46.4,94.7,182.7,194.5,104.7,17.5,51.8,26.6,46.3,15.9,16.8,146.2,114.7
Apr-25,152.5,176.7,99.5,155.8,57,23.8,165,133,147.3,168.9,153.2,150.6,117,163.3,31.2,354.3,141.6,96,57.7,66.2,684.5,347.5,341.8,639.9,52.9,33.8,63.2,61.8,67.9,131.8,143.5,96.3,124,189.1,147.9,180.1,168.1,178.6,146.2,112.4,85.6,100.7,61.8,84.3,73.6,57.9,27.7,89.4,198.8,267.8,183.5,16,35.2,27,40.8,17.8,14.5,190.7,151
May-25,115.4,96.9,72.9,112.1,47.1,18,128.9,102.8,127.6,98.2,119,157.4,106.4,117.3,32.3,194.7,142.8,78.3,48.1,41.7,351.6,307.4,326.5,658.2,44.7,30.5,29,45.3,59.3,64.2,115.5,62.4,94.4,103.7,64.7,128.6,142.8,113.5,113,57.7,65.9,73.5,46.8,58.6,58.3,45.5,21,77.9,129.6,174,102.2,15.9,18.4,18.3,33.4,19,12,87.4,121.9
